Population Density(sq mi)▼,Zip , Population
"1,037.40",12144 ,"20,244"
"1,034.90",10510 ,"10,391"
"1,028.80",11733 ,"17,065"
"1,018.60",10546 ,"1,149"
"1,016.70",13209 ,"13,047"
"1,010.00",14586 ,"11,452"
"1,009.70",10598 ,"29,699"
"1,009.50",13905 ,"27,543"
"1,004.40",12590 ,"35,148"
997.3,10514 ,"12,915"
993.6,14534 ,"32,399"
993.1,10541 ,"26,355"
992.7,12553 ,"25,395"
979.9,14085 ,"7,167"
976,11780 ,"15,099"
973.9,12524 ,"15,984"
969.7,12565 ,"1,450"
957.4,14742 ,215
956.8,10507 ,"7,039"
951.2,12180 ,"53,218"
945.8,14026 ,712
942.7,14086 ,"32,159"
934.6,11961 ,"12,041"
934,13341 ,172
928.8,10577 ,"6,269"
923.8,10962 ,"5,677"
920.6,12177 ,596
919.3,11042 ,542
907.4,13628 ,211
902.1,11955 ,"2,780"
898.3,13760 ,"44,585"
894.1,10567 ,"20,197"
890,14480 ,"1,166"
886.7,14467 ,"9,784"
880.4,11940 ,"4,982"
879.1,11786 ,"6,550"
871.3,12432 ,530
870.3,10520 ,"13,107"
868.1,12449 ,"3,301"
861.2,12527 ,134
845.3,12453 ,417
838.8,11946 ,"13,312"
838.2,10992 ,"9,324"
830.5,11560 ,"6,334"
820.2,11768 ,"21,687"
815.3,10549 ,"16,165"
813.1,13413 ,"16,227"
792.9,12188 ,"11,138"
791.5,11970 ,466
789.3,13901 ,"19,006"
785.7,13039 ,"17,759"
776.4,13492 ,"11,710"
775,10925 ,"4,300"
773.6,13066 ,"11,809"
765.9,10501 ,"1,073"
765.1,12520 ,"3,042"
753.6,13362 ,208
751.7,14126 ,685
745.1,11941 ,"1,929"
744.7,13647 ,68
737.7,14752 ,185
736,14127 ,"30,329"
735.4,10940 ,"48,512"
731.1,10928 ,"4,029"
731,14035 ,167
726.3,10933 ,797
725.9,14072 ,"20,580"
715.7,12979 ,"2,433"
714.9,12722 ,199
710.7,11792 ,"8,941"
707.2,12150 ,842
703.6,11724 ,"2,853"
701.8,12172 ,310
698.8,12574 ,352
693.7,10964 ,"1,711"
689,10970 ,"9,716"
659,14854 ,15
643.9,11771 ,"9,344"
638.4,12302 ,"27,809"
636.6,13163 ,342
636.3,10930 ,"8,938"
631.1,13031 ,"15,345"
618.3,12077 ,"6,481"
611.1,14425 ,"11,415"
610.6,13790 ,"17,858"
598.7,10922 ,"1,406"
598.3,13502 ,"32,415"
589.8,13041 ,"11,023"
589,12518 ,"5,889"
588.2,12884 ,293
588.1,14092 ,"11,595"
582.9,10926 ,"3,256"
582.6,12306 ,"25,494"
581.4,12401 ,"34,752"
579,12198 ,"7,723"
